UniProtID,function,process,component
P24821,GO:0045545,GO:0001649///GO:0007155///GO:0007162///GO:0007528///GO:0008284///GO:0009611///GO:0009612///GO:0010628///GO:0014012///GO:0030198///GO:0031175///GO:0042060///GO:0042127///GO:0042475///GO:0045471///GO:0060447///GO:0060739///GO:0060740///GO:0071300///GO:0071305///GO:0071774///GO:0071799,GO:0005576///GO:0005578///GO:0005604///GO:0005614///GO:0005615///GO:0005925///GO:0016020///GO:0031012
P07355,GO:0002020///GO:0003723///GO:0004859///GO:0005509///GO:0005515///GO:0005544///GO:0005546///GO:0008092///GO:0017137///GO:0019834///GO:0044548///GO:0048306///GO:0098641///GO:0030546,GO:0001525///GO:0001765///GO:0001921///GO:0001934///GO:0006900///GO:0007589///GO:0030199///GO:0031340///GO:0032804///GO:0036035///GO:0042730///GO:0043086///GO:0043312///GO:0048146///GO:0051099///GO:0051290///GO:0072661///GO:0097066///GO:0098609///GO:1905581///GO:1905597///GO:1905599///GO:1905602,GO:0001726///GO:0005576///GO:0005578///GO:0005604///GO:0005615///GO:0005634///GO:0005737///GO:0005765///GO:0005768///GO:0005769///GO:0005811///GO:0005829///GO:0005886///GO:0005913///GO:0005938///GO:0009986///GO:0016020///GO:0016323///GO:0019897///GO:0030496///GO:0031902///GO:0031982///GO:0035578///GO:0035749///GO:0042383///GO:0042470///GO:0043220///GO:0043234///GO:0044354///GO:0048471///GO:0070062///GO:1990667///GO:0031012///GO:0045121
P00747,GO:0004252///GO:0005102///GO:0005515///GO:0008233///GO:0008236///GO:0016787///GO:0019904///GO:0034185,GO:0002576///GO:0006508///GO:0007596///GO:0007599///GO:0008285///GO:0010812///GO:0022617///GO:0042730///GO:0044267///GO:0048771///GO:0051918///GO:0051919///GO:2000048,GO:0005576///GO:0005615///GO:0005886///GO:0009986///GO:0031093///GO:0031232///GO:0070062///GO:0072562
P09486,GO:0005509///GO:0005515///GO:0005518///GO:0046872///GO:0050840,GO:0001503///GO:0001937///GO:0002576///GO:0006898///GO:0007165///GO:0007507///GO:0009629///GO:0010288///GO:0010595///GO:0016525///GO:0022604///GO:0030198///GO:0030324///GO:0032496///GO:0033591///GO:0034097///GO:0042060///GO:0042127///GO:0043434///GO:0043473///GO:0045471///GO:0046686///GO:0048839///GO:0051384///GO:0051591///GO:0051592///GO:0060348///GO:0071363,GO:0005576///GO:0005578///GO:0005604///GO:0005615///GO:0005622///GO:0005634///GO:0005737///GO:0009986///GO:0016363///GO:0031091///GO:0031092///GO:0031093///GO:0031982///GO:0071682///GO:0005739///GO:0005886
P01023,GO:0002020///GO:0004866///GO:0004867///GO:0005096///GO:0005102///GO:0005515///GO:0019838///GO:0019899///GO:0019959///GO:0019966///GO:0030414///GO:0043120///GO:0048306,GO:0001869///GO:0002576///GO:0007597///GO:0010466///GO:0010951///GO:0022617///GO:0043547///GO:0048863///GO:0051056,GO:0005576///GO:0005615///GO:0005829///GO:0031093///GO:0070062///GO:0072562
P01033,GO:0002020///GO:0004857///GO:0005125///GO:0005515///GO:0008083///GO:0008191///GO:0030414///GO:0046872,GO:0001775///GO:0002576///GO:0007568///GO:0008284///GO:0009725///GO:0010033///GO:0010466///GO:0010951///GO:0022617///GO:0034097///GO:0042060///GO:0043066///GO:0043086///GO:0043434///GO:0051045///GO:0051216///GO:1901164///GO:1905049///GO:2001044,GO:0005576///GO:0005578///GO:0005604///GO:0005615///GO:0031012///GO:0031093///GO:0070062
P03956,GO:0004175///GO:0004222///GO:0004252///GO:0005509///GO:0008233///GO:0008237///GO:0008270///GO:0016787///GO:0046872,GO:0006508///GO:0016032///GO:0022617///GO:0030574///GO:0032461///GO:0044267///GO:0050900,GO:0005576///GO:0005578///GO:0031012
P08253,GO:0004222///GO:0004252///GO:0005515///GO:0008233///GO:0008237///GO:0008270///GO:0016787///GO:0046872,GO:0001525///GO:0001666///GO:0001955///GO:0001957///GO:0006508///GO:0007566///GO:0022617///GO:0030574///GO:0035987///GO:0044267///GO:0045089///GO:0048013///GO:0048705///GO:0060325///GO:0060346///GO:0071230///GO:1904707,GO:0005576///GO:0005578///GO:0005615///GO:0005634///GO:0005737///GO:0005739///GO:0005886///GO:0016020///GO:0030017///GO:0031012
P08254,GO:0004175///GO:0004222///GO:0004252///GO:0005509///GO:0005515///GO:0008233///GO:0008237///GO:0008270///GO:0016787///GO:0046872,GO:0006508///GO:0010727///GO:0022617///GO:0030574///GO:0032461///GO:0071732///GO:1903209,GO:0005576///GO:0005578///GO:0005615///GO:0031012
P14780,GO:0004175///GO:0004222///GO:0004252///GO:0005515///GO:0005518///GO:0008233///GO:0008237///GO:0008270///GO:0016787///GO:0042802///GO:0046872,GO:0001501///GO:0001503///GO:0001934///GO:0006508///GO:0007566///GO:0022617///GO:0030198///GO:0030225///GO:0030335///GO:0030574///GO:0035987///GO:0043065///GO:0043066///GO:0043312///GO:0043388///GO:0045742///GO:0048013///GO:0050900///GO:0051549///GO:0090200///GO:1900122///GO:1904707///GO:2001243///GO:2001258///GO:2001268,GO:0005576///GO:0005578///GO:0005615///GO:0031012///GO:0070062///GO:1904724///GO:1904813
P0DML2,GO:0005179///GO:0046872,GO:0060397,GO:0005576///GO:0005783///GO:0031904///GO:0031982
P0DML3,GO:0005179///GO:0046872,,GO:0005576///GO:0005783///GO:0031982
Q9Y4K0,GO:0003682///GO:0003714///GO:0004720///GO:0005044///GO:0005507///GO:0005515///GO:0009055///GO:0016491///GO:0016641///GO:0035064///GO:0046872///GO:0070492,GO:0001666///GO:0001837///GO:0001935///GO:0002040///GO:0006351///GO:0006355///GO:0006464///GO:0006898///GO:0007155///GO:0007568///GO:0016569///GO:0016570///GO:0018277///GO:0030199///GO:0032332///GO:0043542///GO:0045892///GO:0046688///GO:0055114,GO:0005576///GO:0005578///GO:0005604///GO:0005615///GO:0005634///GO:0005654///GO:0005694///GO:0016020///GO:0031012
P25067,GO:0005201///GO:0030674,GO:0001525///GO:0007155///GO:0016337///GO:0030198///GO:0030574///GO:0048593///GO:0050673,GO:0005576///GO:0005578///GO:0005581///GO:0005604///GO:0005788///GO:0031012
P02452,GO:0005201///GO:0005515///GO:0042802///GO:0046872///GO:0048407,GO:0001501///GO:0001503///GO:0001568///GO:0001649///GO:0001957///GO:0001958///GO:0007584///GO:0007596///GO:0007601///GO:0007605///GO:0009612///GO:0010718///GO:0010812///GO:0015031///GO:0030168///GO:0030198///GO:0030199///GO:0030335///GO:0030574///GO:0031667///GO:0031960///GO:0032355///GO:0032964///GO:0034504///GO:0034505///GO:0038063///GO:0042060///GO:0042493///GO:0042542///GO:0043434///GO:0043588///GO:0043589///GO:0044344///GO:0044691///GO:0045893///GO:0048545///GO:0048705///GO:0048706///GO:0050776///GO:0050900///GO:0051591///GO:0055093///GO:0060325///GO:0060346///GO:0060351///GO:0070208///GO:0071230///GO:0071260///GO:0071300///GO:0071306///GO:0071356///GO:0071364///GO:0071560///GO:0090263///GO:1902617///GO:1902618,GO:0005576///GO:0005578///GO:0005581///GO:0005584///GO:0005615///GO:0005737///GO:0005783///GO:0005788///GO:0005794///GO:0030141///GO:0031012
Q08345,GO:0000166///GO:0004672///GO:0004713///GO:0004714///GO:0005515///GO:0005518///GO:0005524///GO:0016301///GO:0016740///GO:0038062///GO:0046872,GO:0001558///GO:0001952///GO:0006468///GO:0007155///GO:0007169///GO:0007565///GO:0007566///GO:0007595///GO:0008285///GO:0010715///GO:0014909///GO:0016310///GO:0018108///GO:0030198///GO:0038063///GO:0038083///GO:0043583///GO:0044319///GO:0046777///GO:0060444///GO:0060749///GO:0061302///GO:0061564///GO:1990138,GO:0005576///GO:0005615///GO:0005886///GO:0005887///GO:0016020///GO:0016021///GO:0043235///GO:0070062
P02461,GO:0005178///GO:0005201///GO:0005515///GO:0046332///GO:0046872///GO:0048407,GO:0001501///GO:0001568///GO:0007160///GO:0007179///GO:0007229///GO:0007507///GO:0007568///GO:0009314///GO:0009612///GO:0018149///GO:0021987///GO:0030168///GO:0030198///GO:0030199///GO:0030574///GO:0034097///GO:0035025///GO:0042060///GO:0043588///GO:0048565///GO:0050776///GO:0050777///GO:0060414///GO:0071230///GO:0097435///GO:2001223,GO:0005576///GO:0005578///GO:0005581///GO:0005586///GO:0005615///GO:0005788///GO:0031012
P02545,GO:0005198///GO:0005515,GO:0006997///GO:0006998///GO:0007077///GO:0007084///GO:0007517///GO:0010628///GO:0030334///GO:0030951///GO:0034504///GO:0035105///GO:0036498///GO:0055015///GO:0071456///GO:0072201///GO:0090201///GO:0090343///GO:1900180///GO:2001237,GO:0005634///GO:0005635///GO:0005638///GO:0005652///GO:0005654///GO:0005829///GO:0005882///GO:0016607///GO:0031012///GO:0031965///GO:0048471
P02751,GO:0002020///GO:0005178///GO:0005515///GO:0005518///GO:0008201///GO:0016504///GO:0042802,GO:0001525///GO:0001932///GO:0002576///GO:0006953///GO:0007044///GO:0007155///GO:0007160///GO:0007161///GO:0008284///GO:0008360///GO:0009611///GO:0010628///GO:0010952///GO:0018149///GO:0022617///GO:0030198///GO:0033622///GO:0034446///GO:0035987///GO:0042060///GO:0045773///GO:0048146///GO:0050900///GO:0070372///GO:1904237///GO:2001202,GO:0005576///GO:0005577///GO:0005578///GO:0005604///GO:0005605///GO:0005615///GO:0005793///GO:0016324///GO:0031012///GO:0031093///GO:0070062///GO:0072562
P07996,GO:0001786///GO:0001948///GO:0001968///GO:0005178///GO:0005509///GO:0005515///GO:0008201///GO:0017134///GO:0030169///GO:0042802///GO:0043236///GO:0043394///GO:0050431///GO:0050840///GO:0070051///GO:0070052,GO:0000187///GO:0001666///GO:0001937///GO:0001953///GO:0002040///GO:0002544///GO:0002576///GO:0002581///GO:0002605///GO:0006954///GO:0006955///GO:0006986///GO:0007050///GO:0007155///GO:0008284///GO:0009612///GO:0009749///GO:0010595///GO:0010596///GO:0010748///GO:0010751///GO:0010754///GO:0010757///GO:0010759///GO:0010763///GO:0016477///GO:0016525///GO:0018149///GO:0030194///GO:0030198///GO:0030335///GO:0030511///GO:0030823///GO:0032026///GO:0032570///GO:0032695///GO:0032914///GO:0033574///GO:0034605///GO:0034976///GO:0036066///GO:0040037///GO:0042327///GO:0042493///GO:0042535///GO:0043032///GO:0043066///GO:0043154///GO:0043536///GO:0043537///GO:0043652///GO:0045727///GO:0045766///GO:0048266///GO:0048661///GO:0050921///GO:0051592///GO:0051895///GO:0051897///GO:0051918///GO:0071356///GO:0071363///GO:0071636///GO:1902043///GO:2000353///GO:2000379///GO:2001027///GO:2001237,GO:0005576///GO:0005577///GO:0005615///GO:0005737///GO:0005783///GO:0005788///GO:0009897///GO:0009986///GO:0016529///GO:0030141///GO:0031012///GO:0031091///GO:0031093///GO:0070062
P08311,GO:0004252///GO:0005515///GO:0008201///GO:0008233///GO:0008236///GO:0016787,GO:0002003///GO:0006468///GO:0006508///GO:0006955///GO:0016485///GO:0019730///GO:0022617///GO:0032496///GO:0042742///GO:0043312///GO:0044130///GO:0044267///GO:0050778///GO:0050830///GO:0050832///GO:0070946,GO:0005576///GO:0005615///GO:0005634///GO:0005886///GO:0009986///GO:0030141///GO:0035578///GO:0070062///GO:0031012
P27658,GO:0005515,GO:0001525///GO:0007155///GO:0010811///GO:0030198///GO:0030574///GO:0035987///GO:0048593///GO:0050673,GO:0005576///GO:0005578///GO:0005581///GO:0005591///GO:0005604///GO:0005615///GO:0005788///GO:0031012///GO:0070062
P98066,GO:0005515///GO:0005540,GO:0006954///GO:0007155///GO:0007165///GO:0007267///GO:0030335///GO:0030728///GO:0043312///GO:0050728,GO:0005576///GO:0005615///GO:1904724///GO:1904813
Q16610,GO:0002020///GO:0004871///GO:0005134///GO:0005515///GO:0008022///GO:0019899///GO:0043236,GO:0001503///GO:0001525///GO:0001938///GO:0001960///GO:0002576///GO:0002828///GO:0006357///GO:0006954///GO:0007165///GO:0010466///GO:0030500///GO:0030502///GO:0031214///GO:0043123///GO:0045766///GO:2000404,GO:0005576///GO:0005578///GO:0005615///GO:0031012///GO:0031089///GO:0070062
P02768,GO:0003677///GO:0005504///GO:0005507///GO:0005515///GO:0008144///GO:0008289///GO:0015643///GO:0016209///GO:0030170///GO:0042802///GO:0046872///GO:0051087///GO:0019825,GO:0001895///GO:0002576///GO:0006810///GO:0006898///GO:0009267///GO:0015721///GO:0019836///GO:0042157///GO:0043066///GO:0043069///GO:0043252///GO:0051659///GO:0098869,GO:0005576///GO:0005615///GO:0005634///GO:0005737///GO:0005783///GO:0005794///GO:0031093///GO:0043209///GO:0043234///GO:0070062///GO:0072562
P08123,GO:0005201///GO:0005515///GO:0030674///GO:0042802///GO:0046332///GO:0046872///GO:0048407,GO:0001501///GO:0001568///GO:0007179///GO:0007266///GO:0007596///GO:0008217///GO:0030168///GO:0030198///GO:0030199///GO:0030574///GO:0042476///GO:0043589///GO:0050776///GO:0050900///GO:0070208///GO:0071230,GO:0005576///GO:0005578///GO:0005581///GO:0005584///GO:0005615///GO:0005783///GO:0005788///GO:0031012///GO:0070062
P16035,GO:0002020///GO:0004857///GO:0005178///GO:0005515///GO:0008191///GO:0030414///GO:0046872,GO:0007417///GO:0007568///GO:0008285///GO:0009725///GO:0010466///GO:0010951///GO:0022617///GO:0032487///GO:0034097///GO:0042493///GO:0043312///GO:0043410///GO:0045666///GO:0045762///GO:0045861///GO:0045930///GO:0046580///GO:0051045///GO:1905049,GO:0005576///GO:0005578///GO:0005615///GO:0009986///GO:0030426///GO:0031012///GO:0035580///GO:0043005///GO:0043025///GO:0070062///GO:1904724///GO:1904813
Q99727,GO:0002020///GO:0004857///GO:0008191///GO:0030414///GO:0046872,GO:0007219///GO:0007417///GO:0008150///GO:0009725///GO:0010466///GO:0010951///GO:0032496///GO:0034097///GO:0042493///GO:0042698///GO:0043086///GO:0043434///GO:0051045,GO:0005576///GO:0005578///GO:0005615///GO:0030017
P04004,GO:0005044///GO:0005178///GO:0005515///GO:0005518///GO:0008201///GO:0030247///GO:0042802///GO:0050840,GO:0006898///GO:0006955///GO:0007155///GO:0007160///GO:0010811///GO:0010951///GO:0014911///GO:0030195///GO:0030198///GO:0030449///GO:0030949///GO:0032092///GO:0033627///GO:0035987///GO:0048260///GO:0048709///GO:0050731///GO:0051258///GO:0061302///GO:0090303///GO:0097421,GO:0005576///GO:0005578///GO:0005604///GO:0005615///GO:0005737///GO:0005783///GO:0005796///GO:0031012///GO:0043231///GO:0048237///GO:0070062///GO:0071062///GO:0072562
P05106,GO:0001618///GO:0001968///GO:0002020///GO:0003756///GO:0004872///GO:0005161///GO:0005515///GO:0015026///GO:0019899///GO:0042802///GO:0043184///GO:0050839///GO:0050840///GO:0017134///GO:0019960///GO:0031994///GO:0038132,GO:0001934///GO:0001938///GO:0002576///GO:0007044///GO:0007155///GO:0007160///GO:0007229///GO:0007596///GO:0010595///GO:0010745///GO:0010888///GO:0014909///GO:0016032///GO:0016049///GO:0016477///GO:0030168///GO:0030198///GO:0030334///GO:0030949///GO:0031589///GO:0032147///GO:0032369///GO:0033627///GO:0034113///GO:0034446///GO:0035295///GO:0038027///GO:0042060///GO:0045124///GO:0045715///GO:0046718///GO:0048010///GO:0048333///GO:0050731///GO:0050748///GO:0050900///GO:0050919///GO:0060055///GO:0070527,GO:0005634///GO:0005886///GO:0005887///GO:0005925///GO:0008305///GO:0009986///GO:0016020///GO:0016021///GO:0030054///GO:0031092///GO:0031258///GO:0031527///GO:0031528///GO:0032587///GO:0034683///GO:0035867///GO:0042470///GO:0042995///GO:0043235///GO:0070062///GO:0071062
P05121,GO:0002020///GO:0004867///GO:0005102///GO:0005515///GO:0030414,GO:0001300///GO:0001525///GO:0002576///GO:0007623///GO:0010466///GO:0010469///GO:0010757///GO:0010951///GO:0014912///GO:0030194///GO:0030195///GO:0030198///GO:0030336///GO:0032757///GO:0033629///GO:0035491///GO:0042730///GO:0045766///GO:0045944///GO:0048260///GO:0050729///GO:0050829///GO:0051918///GO:0061044///GO:0061045///GO:0071222///GO:0090026///GO:1902042///GO:2000098///GO:2000352,GO:0005576///GO:0005615///GO:0005886///GO:0031012///GO:0031093///GO:0070062
Q9UBX5,GO:0005178///GO:0005509///GO:0005515///GO:0008022///GO:0042803,GO:0001558///GO:0007155///GO:0007160///GO:0030198///GO:0034394///GO:0046903///GO:0048251///GO:2000121,GO:0005576///GO:0005578///GO:0005615///GO:0031012///GO:0070062///GO:0071953
P05556,GO:0001618///GO:0001968///GO:0002020///GO:0003779///GO:0004872///GO:0005178///GO:0005515///GO:0015026///GO:0032403///GO:0043236///GO:0045296///GO:0046872///GO:0046982///GO:0050839///GO:0098639///GO:0019960,GO:0000082///GO:0001701///GO:0001708///GO:0002042///GO:0006968///GO:0007155///GO:0007156///GO:0007159///GO:0007160///GO:0007161///GO:0007229///GO:0008284///GO:0008354///GO:0008542///GO:0010710///GO:0016032///GO:0016477///GO:0021943///GO:0030183///GO:0030198///GO:0031175///GO:0031589///GO:0031623///GO:0033627///GO:0033631///GO:0034113///GO:0035024///GO:0043065///GO:0043547///GO:0045214///GO:0045596///GO:0046718///GO:0048333///GO:0048675///GO:0048738///GO:0048813///GO:0050776///GO:0050900///GO:0050901///GO:0051726///GO:0055007///GO:0071404///GO:0090004///GO:2000811///GO:0007179///GO:0043149,GO:0001726///GO:0005737///GO:0005768///GO:0005886///GO:0005925///GO:0008305///GO:0009897///GO:0009986///GO:0014704///GO:0016020///GO:0016021///GO:0030027///GO:0030054///GO:0030175///GO:0031410///GO:0031594///GO:0032154///GO:0032587///GO:0034665///GO:0034666///GO:0034667///GO:0034677///GO:0034678///GO:0034680///GO:0034681///GO:0035748///GO:0042383///GO:0042470///GO:0042995///GO:0043197///GO:0043235///GO:0045121///GO:0045202///GO:0048471///GO:0055037///GO:0070062///GO:0071438///GO:0097060
P06576,GO:0000166///GO:0005215///GO:0005515///GO:0005524///GO:0016787///GO:0022857///GO:0042288///GO:0046933///GO:0046961///GO:0016887,GO:0001525///GO:0001649///GO:0006091///GO:0006629///GO:0006754///GO:0006810///GO:0006811///GO:0006933///GO:0007005///GO:0015986///GO:0015992///GO:0042776///GO:0046034///GO:0051453///GO:0099132,GO:0005634///GO:0005739///GO:0005743///GO:0005753///GO:0005754///GO:0005759///GO:0005886///GO:0009986///GO:0016020///GO:0031012///GO:0031966///GO:0042645///GO:0043209///GO:0045261///GO:0070062
P06756,GO:0001618///GO:0001846///GO:0001968///GO:0002020///GO:0005080///GO:0005102///GO:0005245///GO:0005515///GO:0015026///GO:0042277///GO:0046872///GO:0050431///GO:0050840///GO:1990430///GO:0017134///GO:0019960///GO:0031994///GO:0038132,GO:0001525///GO:0001568///GO:0001570///GO:0002479///GO:0006874///GO:0007155///GO:0007160///GO:0007204///GO:0007229///GO:0008284///GO:0010745///GO:0010888///GO:0016032///GO:0016049///GO:0016477///GO:0030198///GO:0030335///GO:0031589///GO:0032369///GO:0033627///GO:0033690///GO:0034113///GO:0034446///GO:0035987///GO:0038027///GO:0043277///GO:0043312///GO:0043410///GO:0045715///GO:0045785///GO:0046718///GO:0048010///GO:0050748///GO:0050764///GO:0050900///GO:0050919///GO:0052066///GO:0070371///GO:0070588///GO:0097192///GO:2000425///GO:2000536///GO:2001237,GO:0005829///GO:0005886///GO:0005887///GO:0005925///GO:0008305///GO:0009897///GO:0009986///GO:0016020///GO:0016021///GO:0030054///GO:0031258///GO:0031527///GO:0031528///GO:0032587///GO:0034683///GO:0034684///GO:0034686///GO:0035579///GO:0035867///GO:0045335///GO:0070062
P21980,GO:0003810///GO:0005515///GO:0005525///GO:0016740///GO:0016746///GO:0019904///GO:0046872,GO:0001974///GO:0007200///GO:0018149///GO:0018153///GO:0032471///GO:0043065///GO:0043123///GO:0043277///GO:0045785///GO:0048661///GO:0050729///GO:0051260///GO:0051482///GO:0051561///GO:0060445///GO:0060662,GO:0005737///GO:0005739///GO:0005783///GO:0005829///GO:0005886///GO:0005925///GO:0031012///GO:0031226///GO:0070062
P22894,GO:0004222///GO:0004252///GO:0005509///GO:0008233///GO:0008237///GO:0008270///GO:0016787///GO:0046872,GO:0006508///GO:0022617///GO:0030574///GO:0035987///GO:0043312,GO:0005576///GO:0005578///GO:0005615///GO:0031012///GO:0035580///GO:1904724
P43235,GO:0001968///GO:0004197///GO:0004252///GO:0005515///GO:0005518///GO:0008233///GO:0008234///GO:0016787///GO:0043394,GO:0001957///GO:0002224///GO:0006508///GO:0022617///GO:0030574///GO:0045453///GO:0051603///GO:1903146///GO:1903955,GO:0005576///GO:0005615///GO:0005654///GO:0005737///GO:0005764///GO:0036021///GO:0043231
P50281,GO:0004222///GO:0004252///GO:0005178///GO:0005509///GO:0005515///GO:0008233///GO:0008237///GO:0008270///GO:0016504///GO:0016787///GO:0046872///GO:0070006,GO:0001503///GO:0001525///GO:0001541///GO:0001666///GO:0001935///GO:0001958///GO:0006508///GO:0006979///GO:0008584///GO:0009612///GO:0009725///GO:0010831///GO:0010952///GO:0014070///GO:0016477///GO:0016485///GO:0022617///GO:0030307///GO:0030324///GO:0030335///GO:0030574///GO:0031638///GO:0035987///GO:0035988///GO:0043615///GO:0043627///GO:0045579///GO:0045746///GO:0048701///GO:0048754///GO:0048771///GO:0048870///GO:0051895///GO:0060348///GO:0097094///GO:1905523///GO:1990834,GO:0005737///GO:0005796///GO:0005829///GO:0005886///GO:0005887///GO:0005925///GO:0016020///GO:0016021///GO:0031012///GO:0031410///GO:0042470///GO:0044354///GO:0045111
P51511,GO:0004222///GO:0005509///GO:0005515///GO:0008047///GO:0008233///GO:0008237///GO:0008270///GO:0016787///GO:0046872///GO:0070006,GO:0006464///GO:0006508///GO:0022617///GO:0030574///GO:0032355///GO:0035987///GO:0043085,GO:0005886///GO:0005887///GO:0016020///GO:0016021///GO:0031012
P51512,GO:0004222///GO:0005509///GO:0008047///GO:0008233///GO:0008237///GO:0008270///GO:0016787///GO:0046872///GO:0070006,GO:0001503///GO:0001958///GO:0006508///GO:0016485///GO:0019538///GO:0022617///GO:0030574///GO:0035988///GO:0043085///GO:0048701///GO:0060348///GO:0097094,GO:0005576///GO:0005578///GO:0005796///GO:0005886///GO:0005887///GO:0009986///GO:0016020///GO:0016021///GO:0031012
P08670,GO:0001948///GO:0003725///GO:0005198///GO:0005200///GO:0005212///GO:0005515///GO:0008022///GO:0042802///GO:0097110///GO:1990254,GO:0006928///GO:0010628///GO:0010977///GO:0014002///GO:0016032///GO:0030049///GO:0045103///GO:0045109///GO:0060020///GO:0060395///GO:0070307,GO:0005737///GO:0005777///GO:0005829///GO:0005856///GO:0005882///GO:0005886///GO:0005925///GO:0031012///GO:0031252///GO:0042995///GO:0043005///GO:0070062
P08758,GO:0004859///GO:0005509///GO:0005515///GO:0005543///GO:0005544,GO:0002576///GO:0007165///GO:0007596///GO:0007599///GO:0010033///GO:0043066///GO:0043086///GO:0050819,GO:0005576///GO:0005622///GO:0005737///GO:0005829///GO:0005925///GO:0009897///GO:0016020///GO:0070062///GO:0072563
P09038,GO:0004713///GO:0005088///GO:0005104///GO:0005125///GO:0005515///GO:0008083///GO:0008201///GO:0016303///GO:0030374///GO:0042056///GO:0046934///GO:0090722,GO:0000165///GO:0000187///GO:0001525///GO:0001658///GO:0001938///GO:0002042///GO:0006661///GO:0006935///GO:0007165///GO:0007265///GO:0007275///GO:0007399///GO:0008284///GO:0008543///GO:0009887///GO:0010764///GO:0010863///GO:0014066///GO:0014843///GO:0018108///GO:0030154///GO:0030198///GO:0030214///GO:0032958///GO:0035019///GO:0036092///GO:0042060///GO:0042660///GO:0043406///GO:0043536///GO:0043537///GO:0043547///GO:0043552///GO:0045765///GO:0045766///GO:0045893///GO:0045944///GO:0046854///GO:0048015///GO:0048598///GO:0050918///GO:0051209///GO:0051781///GO:0060045///GO:0060548///GO:0060591///GO:0061045///GO:0070374///GO:0072089///GO:1903672///GO:2000544///GO:2000546,GO:0005576///GO:0005615///GO:0005634
P31431,GO:0001968///GO:0005080///GO:0005515///GO:0070053,GO:0001523///GO:0001657///GO:0001843///GO:0006024///GO:0006027///GO:0007165///GO:0010762///GO:0030203///GO:0042060///GO:0042130///GO:0045860///GO:0050900///GO:0051496///GO:0051894///GO:0060122///GO:1903543///GO:1903553,GO:0005576///GO:0005796///GO:0005886///GO:0005887///GO:0005925///GO:0009986///GO:0016020///GO:0016021///GO:0043034///GO:0043202///GO:0045121///GO:0070062
